<story>Money|House-foreclosures</story>
<start>20080814162801.278</start>
<end>20080814162922.593</end>
average home prices | have dropped | 7.6 percent 
right now | is attributed | foreclosures 
which | account | nearly a third of recent real estate deals 
Former Federal Reserve chairman Alan Greenspan | is quoted | today's `` Wall Street Journal 
he | sees | America's housing sector 
they | 've already hit | rock bottom 
Foreclosure filings | grew | 8 percent 
foreclosure filings | skyrocketed | 55 percent 
nearly 1 percent of households | have received | a foreclosure notice 
right now | comes | homes 
home repossession rates | are up | more than 180 percent 
