<story>Politics|Edwards-affair</story>
<start>20080809020013.011</start>
<end>20080809022520.850</end>
' political career | lies | shambles 
the former presidential candidate | has admitted | he 
His statement | released | just a few hours 
the story | has already moved | his words 
We | have | all the angles 
we | begin | the words of John Edwards 
the statement John Edwards | released | hours 
judgment | conducted | myself 
a way | was | my family 
my mistake | told | my wife 
a supermarket tabloid | told | a version of the story 
the story | contained | many falsities 
today | take | full responsibility 
that misconduct | took | place 
any test | to establish | the fact 
a test | will be done so | this fact 
the apparent father | has said publicly | he 
the people | believed | me 
the people | love | me 
me | up | more than I 
everything | have to help | my family 
others | need | my help 
Our family | has been | a lot 
some | caused | nature 
some | caused | human weakness 
some most recently | caused | the desire 
we | have stood | one 
John | believes | he 
the door | closes | John 
he | has | his family 
John | made | a terrible mistake 
that many others | have made | John 
me | to hear when | he 
he | did tell | me 
we | began | a long and painful process 
a process | made | my diagnosis 
the courage John | showed | his honesty 
the repair work | began | 2006 
the present voyeurism | does and give | me 
we | need | this time 
this all | began to unravel | the CNN Special Investigations Unit 
The Edwards story | has been | fodder of The National Enquirer 
stricken wife | has | an affair 
a campaign consultant | named | Rielle Hunter 
John Edwards | had dismissed | the `` National Enquirer '' allegations 
he | said | just last month 
judgment | conducted | myself 
a way | was | my family 
my mistake | told | my wife 
The pressure | had been mounting | Edwards 
news stories | appeared | a confrontation 
the former senator | was | Los Angeles raising awareness 
National Enquirer '' reporter Alex Hitchen | was waiting | Edwards 
The paper | said | The paper 
Hunter's baby | were meeting | a room 
he | surprised | Edwards 
we | said | Rielle Hunter 
Rielle Hunter tonight | is | time 
everyone | are actually | the father of this child 
GRIFFIN | -LRB- | camera -RRB- 
Edwards | did not say | a word 
he | ran | the stairs 
the basement | held | the door 
Edwards | admits | he 
that night | did meet | Rielle Hunter 
the tabloid | turned up | the heat 
the paper claims | was shot | the Beverly Hilton Hotel 
Edwards | told | ABC News 
the child | could not be | his 
he | wants to take | a paternity test 
he | 's | the father 
he | was | the father 
the child's birth certificate | adds | the intrigue 
John Edwards | was | a former North Carolina senator 
The pained language of his statement | reflects how far | he 
me | up | more than I 
we | 're learning | tonight 
money | being paid | Rielle Hunter 
two friends and colleagues lives | escape | the media attention 
Baron | telling | The Dallas Morning News 
he | helped | Rielle Hunter 
Andrew Young | move out | North Carolina 
John Edwards | knew | nothing of David Gergen 
we | do n't know | a lot 
no doubt | will be | part of this story 
ABC News | has reported | they 
she | starts working | the campaign 
we | know | the affair 
she | started working | the campaign 
she | got | the job 
she | voted twice | this woman life 
she | was going to change | his image 
She | gets paid | $ 114,000 
