<story>War|South-Ossetia-war</story>
<start>20080812033005.035</start>
<end>20080812033402.439</end>
Russian tanks and troops | widened | persons assaults 
The crisis | erupted | Thursday 
Russia | supports | the separatists 
then the fighting | has intensified moving deeper | Georgia 
CNN's Matthew Chance | has | the latest 
Georgia's tiny army | is beating | a rapid retreat 
their tanks and battle weary troops | are now falling back | the outskirts of the country's capital 
itself | is | risk 
Tbilisi | comes | threat 
he | told | national television 
the enemy | does not have | the resources 
the main conflict zones | is provoking | alarm 
least | is clearly | edge 
Bodyguards | pushed | Georgia 's president running for cover 
They | feared | an air strike 
Georgian troops | have been | action 
we | witnessed | Georgian troops guns firing 
South Ossetian rebels | came | attack 
the fighting | began | last Thursday 
Georgian forces | moved | separatists 
Russia | accuses | Georgia of ethnic cleansing 
RUSSIAN PRIME MINISTER | -LRB- | translator -RRB- 
whose tanks | rolled | children 
Russia's forces | are | the offensive 
Moscow | flexes | its military muscles 
Georgia | is | no real position 
Russian troops | being | Tbilisi 
we | know where | the Russian troops 
They | 're | the outskirts of the capital 
They | 've stayed | the positions 
They | have n't made | a concerted push 
a great deal of insecurity about what Russia might do ; what the intention of Moscow is | to establish | control 
a great deal of insecurity about what Russia might do ; what the intention of Moscow is | supports or does | a great deal of insecurity about what Russia might do ; what the intention of Moscow is 
Georgia proper | to overthrow | the government of Mikhail Saakashvili 
We | do n't know | this stage 
