<story>International|Presidential-campaign-South-Ossetia</story>
<start>20080812200341.485</start>
<end>20080812200739.256</end>
its allies | are trying to show | Russia 
this country | is n't making | the diplomatic situation 
the president of Georgia not | mention | President Bush 
they | doing | this situation 
Top U.S. officials | are privately saying | they 
they | do n't plan to stay | Georgia 
officials | are trying to be | the whole situation 
President Bush | demanded | an end 
he | called | Russia's brutal escalation of violence 
all parties | cease | fire 
The Georgians | have agreed | a cease 
The Russians | need to stop | their military operations 
they | have apparently said | they 
the word | shows | how much 
the White House | is struggling to get | a handle 
U.S. military options | could dramatically escalate | tensions 
the United Nations | will take | tough action 
Rice | focused | steps 
specifics | to stop | Russia's invasion 
We | are reviewing | our options 
Republican John McCain | going much further | the White House 
Russian ambitions | are to restore | the old Russian empire 
Monday | to lash out | Russia 
Obama | said | Russia 
the Russian government | to immediately sign and implement | a cease-fire 
Both candidates | keep calling | Georgian President Mikheil Saakashvili 
they | tell | Georgian President Mikheil Saakashvili 
every American | say | John McCain saying that 
Tbilisi | recounting | conversation 
he | had | John McCain 
President Bush | visited | Georgia 
we | saw | the kind of warm reception 
we | see | that again today 
the White House | make | all of these kind 
these various messages | are coming | the candidates 
the current White House | getting | the way of theirs 
They | continue to say | the current White House 
America | speaking | one voice 
right now | sounds | we 
they | ca n't help | themselves 
