<story>Crime|Caylee-Anthony-missing</story>
<start>20080812033725.442</start>
<end>20080812034108.097</end>
Caylee Anthony | turned | 3 
gifts | sent | people 
She | 's not been seen | nearly two months 
The family | telling | 360 
they | think | she 
an appeals court | denied to lower | the bond 
Casey Anthony | is being held | child neglect charges 
false statements | saying | Caylee 's mother daughter 
She | refused | jail visits 
Caylee's grandparents | are talking | 360's '' Randi Kaye 
they | spent | the day towing 
George and Cindy Anthony | believe | Caylee 
the billboard | may spark | the phone call 
The person or persons | have | my granddaughter 
something | will click | Three-year-old Caylee Anthony 's grandparents brain 
Three-year-old Caylee Anthony 's grandparents heart | 's going to save | my daughter 
we | 've kept | this girl 
somebody | is just going to realize | she 
he | saw | Caylee from June 15th 
Caylee | left | the house 
Casey | did not report | the little girl 
Casey | is | jail 
child neglect | obstructing | a criminal investigation 
Casey | lied | investigators 
she | 's only trying to protect | Caylee 
they | think | she 
she | might have harmed | your granddaughter 
those people | do n't know | my daughter 
Casey | knows | she 
she | would do | anything including 
a jail cell | to protect | her daughter 's daughter 
she | be protecting | Caylee from 
Someone | may have threatened to harm | Caylee 
her daughter 's mom | was mixed up | in 
Some | have suggested | Casey 
she | saw | something 
somebody | did | my granddaughter 
We | 've learned | investigators 
they | 're testing | the air 
the car Casey | was driving when | Caylee 
which | specializes | body decomposition 
They | 're testing | the air 
The Anthonys | believe | they 
the verge | finding | Caylee alive 
he | thought | he 
Caylee alive and well | just | today 
just | be | wishful thinking 
He | believes | they 
He | believes | this week 
he | 's calling | some very good news 
We | 're going to have | more 
a moment Caylee's mother | is | jail 
she | may have | information 
We | 'll get | some answers 
the family | has | people 
