<story>Politics|Swift-boat-book-Obamanation</story>
<start>20080814015609.530</start>
<end>20080814015824.732</end>
We | have | a caller 
he | be getting | his brigade of lawyers 
up | to file | a slander lawsuit 
Obama | wants to give | this any more attention 
First of all , because the Kerry campaign was very passive in responding , and the Democrats are more aggressive this time . | was playing | Vietnam 
a whole resonance | had been there | a long time 
They | had | a very deep history 
the same thing | exists | Obama 
We | see | the results of Bush 
the American public | is going to fall | a second time 
Barack Obama | should give | this any more attention 
this book | is being laid | the feet of the GOP 
the Democratic primary | was | Bill Clinton 
he | said | he 
two candidates | loved | their country 
a lot of this | was coming | Democrats 
the GOP | is coordinated | concerted 
we | saw | left wing blogs 
herself | said | she 
she | thought | he 
