<story>Environment|Nancy-Pelosi-offshore-drilling</story>
<start>20080812222720.503</start>
<end>20080812223402.538</end>
energy costs | have put | a spotlight 
a spotlight | would have | minimal impact 
Democrats | may be softening | Many experts opposition 
Carol Costello | is following | story 
House Speaker Nancy Pelosi | seems to be changing | Carol 's stance 
Republican lawmakers | have been protesting | Speaker Pelosi's refusal 
a vote | to lift | a moratorium 
They | were | Republican 
He | was | Drill offshore 
House Speaker Nancy Pelosi | now following | Barack Obama's lead 
she | would consider allowing | Congress 
a package | includes | drilling 
this one | has | its drawbacks 
we | can get | great things 
President Bush | saw | END VIDEO CLIP 
The Democratic leadership | should bring up | a clean bill 
a chance | to vote | or down 
we | should proceed | offshore drilling 
the Democrats | are sincerely compromising | the people 
69 percent | are | favor of offshore drilling 
your position | was | three weeks 
Nancy Pelosi | was | legislating 
she | would come back | vacation 
John McCain | was also | offshore drilling 
He | flip-flopped ahead | the Democrats 
the issue | has paid | off 
we | 've heard | Carol's report 
John McCain | was | the first one 
Does | anybody come | clean 
McCain | gets | the lion's share of the mileage 
Americans | think | drilling 
My problem | is | Speaker Pelosi 
we | elect | Congress 
we | elect | the people we elect to Congress 
she | said | she 
anything | funding | the war 
she | said | impeachment 
she | wo n't allow | a vote 
all the votes | to fund | the war 
they | would cut | the funding 
Speaker Pelosi | handles | House Speaker Nancy Pelosi office 
she | following | Democratic nominee Barack Obama 
he | become | the leader of the Democratic Party 
she | was opposing | offshore drilling 
before | was to give | Barack Obama cover 
he | wanted to maintain | position 
she | 's recognizing | this issue 
the issue of offshore oil drilling | does | the American public 
she | wants | what Obama 
Nancy Pelosi | is obviously | a very smart woman 
she | realizes | the train 
John McCain | was | that train 
Jack | pointed | out 
he | 'll get | some more of the lion's share 
all | have pretty much | a certain degree 
the polls | show | 70 percent of Americans 
We | 're having | this debate 
we | get | any gasoline 
this country | to refine | the oil 
we | would get offshore | gasoline 
We | have n't built | a new one 
a national drumbeat | to let | 's rush 
We | want | the announcement of doing this 
MALVEAUX : So , what does that mean ? | is | the voters 
people | look | changing positions 
they | punish | people look at changing positions 
the oil | to make | too much of an initial difference 
they | 're | desperate 
any option | might have | a short-term effect 
a mature adult | reaches | consensus 
a negotiator | has | good intentions 
a while | was | the Democrats 
any sort of labels and tags and narrative | created | they 
the Democrats | are | charge 
