<story>War|South-Ossetia-war</story>
<start>20080812022919.189</start>
<end>20080812023316.360</end>
Russian tanks and troops | widened | their assaults 
The crisis | erupted | Thursday 
Russia | supports | the separatists 
CNN's Matthew Chance | has | the latest 
Georgia's tiny army | is beating | a rapid retreat 
battle-weary troops | are now falling back | the outskirts of the country's capital 
itself | is | risk 
Tbilisi | comes | threat 
he | told | national television 
the enemy | does not have | the resources 
the main conflict zones | is provoking | alarm 
least | is clearly | edge 
Bodyguards | pushed | Georgia 's president 
They | feared | an air strike 
Georgian troops | have been | action 
we | witnessed | Georgian troops guns firing 
South Ossetian rebels | came | attack 
the fighting | began | last Thursday 
Georgian forces | moved | separatists 
Russia | accuses | Georgia of ethnic cleansing 
RUSSIAN PRIME MINISTER | -LRB- | translator -RRB- 
whose tanks | rolled | children 
civilians | are being given | protection 
Russia's forces | are | the offensive 
Moscow | flexes | its military muscles 
Georgia | is | no real position 
Russian troops | being | Tbilisi 
we | know where | the Russian troops 
They | 're | the outskirts of the capital 
thousands of Georgian troops | have dug | defensive positions 
They | 've stayed | the positions 
They | have n't made | a concerted push 
the intention of Moscow | to establish | control 
the intention of Moscow | supports or does | the intention of Moscow 
Georgia proper | to overthrow | the government of Mikheil Saakashvili 
We | do n't know | this stage 
