<story>Health|Mcconaughey-baby</story>
<start>20080808175803.512</start>
<end>20080808175943.011</end>
actor Matthew McConaughey | has been | a dad 
He | talked | our Sanjay Gupta 
guys | have | a plan 
she | going to get | an epidural , 
she | going to get | pain meds 
We | did have | a plan 
We | had | a plan 
We | had | an ideal 
our Sanjay Gupta | 're hearing | all this going on 
her soul and bearing pain | being | top of her soul 
a strength | come out | a woman 
a strength | come | a woman 
we | went | 60 hours 
60 | are going | something 
we | call | now 
We | 've gone | something 
