<story>Crime|Caylee-Anthony-missing</story>
<start>20080813000207.225</start>
<end>20080813003947.049</end>
a jailhouse visit | scheduled | today 
Lee Anthony | has suggested | he 
the people | have kidnapped | Caylee 
they | know | another shocking twist 
re people | know | they 
They | know | ` re being watched 
the people | have | my granddaughter 
t | want | any more of this going on 
Police | continue to search | Caylee 
reports | saying | investigators 
the second straight day | searched | a wooded area 
A lot of people | keep talking | the hair 
t | know | how many pieces of evidence 
they | get | results 
we | can put | this puzzle 
we | ` re getting | closer and closer 
gut feeling | made | me 
the same gut feeling | know | she 
A local Orlando TV station | is reporting | Casey Anthony 
A source | tells | the station 
authorities | would be | anything 
The station | reports | boyfriend Tony Lazzaro 
ph | told | investigators 
he | heard | Anthony talk 
Caylee | said | Anthony 
Can Tony | tell | me 
Tony doesn ` t | know | anything 
t | talked | GEORGE ANTHONY 
Tony hasn | t seen | Caylee 
police | desperately searching | a beautiful 3-year-old Florida girl 
Local media | is reporting | the second day 
investigators | searched | an area 
the Anthony home | receiving | a tip of a distinct smell 
re | trying to put together | Casey 
She | was gone | 31 days 
t | know | exactly 
she | was | those 31 days 
we | have to try to put | pieces 
those 31 days | ` s not going to be | anything 
s | smells | all of us 
Casey Anthony | refuses | a visit 
brother | cancels | a scheduled visit 
we | do to find | Caylee 
George Anthony | told | an Orlando station 
he | claims took | Caylee 
they | know | END AUDIO CLIP 
these people | are out there | we 
s | speculation | my part 
the persons | had | this person 
she | s | the little girl 
s | missing | Orlando 
The person or persons | has | my granddaughter 
something | will click | their brain 
we | ` ve held | The person or persons that has my granddaughter right now 
we | ` | ve 
Anthony | may be facing | additional charges 
A source | told | an Orlando station 
they | may charge | The person or persons that has my granddaughter right now 
the hopes | putting | pressure 
The person or persons that has my granddaughter right now | to get | The person or persons that has my granddaughter right now 
boyfriend Tony Lazzaro | told | investigators 
Anthony | seemed | a panic 
The person or persons that has my granddaughter right now daughter | s | disappearance 
Caylee | is | all 
every two seconds | have to stay composed to talk | detectives 
Lazzaro | told | cops 
Does Tony | have | anything 
Tony | had | nothing 
t | want to tell | me 
he | ` s | my boyfriend 
a chance | to talk | GEORGE ANTHONY 
a -LRB- | DELETED | -RRB- whim 
We | have | nothing 
she | ` | s 
we | have | nothing 
we | can say | this child 
police | reveal | they 
ve | got | a lot 
re | keeping | a lot of things 
Investigators | have been working | this case 
the street | looking | clues 
more charges | may be filed | Casey Anthony one of these days 
she | stole | $ 700 
they | may get | NANCY 
NANCY | using | unauthorized use of NANCY parents 
she | was | Monday 
Tony Lazzaro | said | Casey 
he | said | Casey 
she | was | a panic 
he | see | Caylee 
investigators | looking | NANCY very important cell phone records 
They | ` re trying to ping | those towers 
We | ` re taking | your calls 
police | have honed | the dates 
Caylee | was seen | June 15 
she | went to go see | her great-grandfather 
we | know where | she 
the grandparents | saw | her the morning of the 16th 
we | ` | ve 
re | talking | about 
police | honed | those 48 hours 
They | don | t 
that investigators | believe | little Caylee 
criminal profiler and author | Killing | Sport 
s | been | a lot of reports 
little Caylee | died | an aboveground pool 
she | died | an accident 
paramedics | to try and revive | little Caylee 
