<story>International|Mikheil-Saakashvili-interview</story>
<start>20080813221122.312</start>
<end>20080813221522.219</end>
the U.S. | should do | more 
Earlier today | accused | the United States 
Washington | were pursued | the Russians 
an ultimatum | was given | a Russian official 
the United States | said | the Bush administration 
We | heard | State Condoleezza Rice 
the United States | has made | the United States 
the Bush administration | to do | terms of support 
the Russians | mistook | some of the statements 
an inability of the U.S. | to react | flagrant violation of every international law 
we | 've been witnessing | the last few days 
what -- and , you know | 's | Georgia 
the voice of people | are committing | war crimes 
what Neville Chamberlain | said | Czechoslovakia 
we | care | about a faraway country of what 
they | gave | up Czechoslovakia 
they | compromised | Munich 
we | have | now is 
events | might unfold | Georgia 
he | said | terms of the United States 
President Bush | expressed | unwavering support 
the expense of our territorial integrity | were | compromises 
terms | appeasing | one dictatorship 
another | was | the past century 
the world | went | appeasement 
my people | are | the United States 
we | had | forces 
Iraq | to fight | the U.S. 
we | have | common values 
we | share | those values 
what Russia | is trying to kill right now | Georgia 
my country | getting rid | me 
Russia | is | killing 
