<story>Politics|Edwards-affair-National-Enquirer-journalist-interview</story>
<start>20080809010118.444</start>
<end>20080809015031.927</end>
the statement | coming | out 
he | said | he 
an interview | will air later tonight | Nightline 
furious | would be | a good way 
Elizabeth Edwards | has now issued | a statement 
a statement herself , saying her husband 's infidelity was a terrible mistake husband's infidelity | was | a terrible mistake 
she | is | the courage 
he | 's shown | the face of shame 
the reporters | broke | this story 
one of those reporters | confronted | John Edwards 
The `` National Enquirer | reported | an alleged affair 
you guys | going | this direction 
FIRST | REPORTED | THE AFFAIR 
we | started investigating | David Perel 
we | go down | this road 
we | abandon | A lot of times when we go down this road and the story 
The Enquirer | uncovered | the `` National Enquirer 
John Edwards | had | a sexual affair 
we | did | the story 
we | came back | a much tougher story 
we | photographed | her pregnant 
he | was | the father 
we | know | Rielle 
he | did not take | a paternity test 
He | 's now saying | he 
We | 've asked | John Edwards 
he | would take | one 
he | 's ignored | request 
we | do know | the man 
she | had | a sexual relationship 
He | said | his statement today 
the apparent father | has said publicly | he 
He | does say | he 
he | argues | he 
The baby | was born | just a few weeks 
He | said | the affair 
he | could n't be | the father of this baby 
he | 's | the father 
he | believes | he 
Rielle | is telling | everyone 
ph | moved | the Santa Barbara area 
they | 're | all living 
Rielle Hunter | coming down | the Beverly Hilton 
that day | to meet | John Edwards 
the , father | was | he 
what Mr. Edwards | is leading | everyone 
he | has n't been | credible 
he | does take | the paternity test 
the paternity test | does n't match | the paternity test 
we | 'll publish | a paternity test 
He | has refused to do | David Bonyer 
he | 's been calling | this story 
tabloid trash | lying | the American public 
we | did catch | David Bonyer 
we | did publish | a photograph 
the `` National Enquirer | showing | David Bonyer 
We | can also reveal | addition 
he | met | the same hotel 
me | read | part of this in his statement 
judgment | conducted | myself 
a way | was | my family 
my mistake | told | my wife 
another woman | asked | a liaison with another woman forgiveness 
a supermarket tabloid | told | a version of the story 
the story | contained | many falsities 
my conduct and choices | had hoped | my conduct and choices 
today | take | full responsibility 
that misconduct | took | place 
any tests | to establish | the fact 
the father of any baby | am | a test 
a lot of people | question | the reporting of the `` National Enquirer 
we | do pay | sources 
a lot of people | checks | as credible and accurate 
