<story>International|South-Ossetia-war-Mikheil-Saakashvili-interview</story>
<start>20080813125104.125</start>
<end>20080813125324.566</end>
a chance | to hear | what President Saakashvili 
he | seemed to be | the initial statements 
this administration | were | he 
he | slammed and criticized | the U.S. 
soft statements | coming | Washington 
the Russians | to continue | Exactly invasion 
He | thought | the U.S. 
immediately | defend | Georgia 
they | did warn | Mikheil Saakashvili 
the Russian hands | give | state department officials 
a reason | to come | the country 
they | 're pretty upset | Georgia , Mikheil Saakashvili 
one official | put | one 
some critics | have said | he 
himself | sending | Georgian forces 
he | was sickened | such talk 
He | had | some tough talk 
president | is | stake 
America | is losing | the whole region 
we | know | they 
this stage and push | to overcome | the situation 
Who else | can stand | for liberty 
Who else | can stand | for liberty 
So there he is | to differentiate between | liberty in the world but the United States 
he | want to see | American forces 
He | seemed to suggest | EU peacekeepers 
