<story>Money|Home-heating-costs</story>
<start>20080815185101.155</start>
<end>20080815185346.320</end>
those bills | are set to jump | this year 
CNNMoney.com's Poppy Harlow | has | our `` Energy Fix 
even a few months | comes | energy 
we | tested | CNNMoney.com 's Poppy Harlow 
Consumers | are expected to pay | an average of $ 1,100 
this year | to heat | Consumers homes 
that area | expected | to near $ 3,000 
government programs | to help | people 
low income families | make | low income families homes 
We | can all do | CNNMoney.com 's Poppy Harlow 
The audit | pinpoints where | your home 
energy | evaluates | the efficiency of your current heating system 
they | can be | about 97 percent 
We | 're | a drought 
the shower | taking | very quick showers 
A 10 degree reduction | will cut | your bill 
the water heater | is | the touch 
They | cost | about $ 20 
some utility companies | give | some utility companies 
