<story>International|Palestinian-militants-training</story>
<start>20080814213944.948</start>
<end>20080814214440.443</end>
a remarkable piece | reporting | CNN's Paula Hancocks 
she | was led blindfolded | a secret weapons factory 
Hamas | took | control of Gaza 
Palestinian militants | have fired | more than 5,000 rockets 
Masks | hide | its new recruits identity 
these men | do marching | drills 
The tactics | feared | Israel 
The PRC | was | one of the groups 
This kind of training | can only take | place 
the Israeli forces | ca n't see | This kind of training 
they | burn | tires 
thick smoke | making | these men 
Only one man | shows | his face 
Ibrahim Dahman | is already wanted | Israel 
He | tells | me 
we | have been | siege 
We | are blindfolded and driven | the back of a van 
The factory | is | fact 
the canister | convinces | the rocket makers 
a fear | voiced | many Israeli officials 
the 16 factions | agreed | a truce 
Israel | to respect | a truce 
The PRC | supports | Hamas 
one spokesman | said | last week 
nothing | improves | three weeks 
The PRC | would return | the cycle of violence 
Thousands of rockets | have been fired | Israel 
Materials | used | the rockets 
They | want | the world 
They | want | Israel 
these men | still building | rockets 
they | do n't want to give | these men location 
Nasa Four | has doubled | the range of Nasa Three 
a demonstration | choreographed | the camera 
a rare glimpse | happens | the scenes of a truce 
Israel | would hold | Hamas accountable 
anything | happened to break | the current truce 
everyone | wants | the cease-fire 
The cease-fire | was negotiated | Egypt 
the other terrorist groups | ca n't use | the Hamas movement 
we | reserve | the right 
if | need be to protect | ourselves 
We | do n't want | this current quiet 
