<story>Accident|Obama-plane-incident</story>
<start>20080814224915.384</start>
<end>20080814225024.353</end>
dramatic audiotapes | released | that scene 
the air | involving | Barack Obama's plane 
Let's | go | our Internet reporter 
They | 've found | out 
last month | seems | a lot 
FAA control tower tapes | have just been put | 's news site 
we | 'd like to declare | this an emergency 
we | have | Senator Obama 
Those control tower tapes | posted | the ABC News Web site 
the incident | happened | last month 
the plane | did | land 
