<story>Justice|Caylee-Anthony-missing</story>
<start>20080816000023.155</start>
<end>20080816004957.093</end>
Police | searching | a beautiful little 3-year-old Florida girl 
Caylee grandparents | report | Caylee missing , little Caylee 
last | seen | Caylee mother 
Orlando | to put | $ 50,000 bond 
s | airport | just one day 
police | hone | 72 hours 
Caylee | was | last seen alive Father 
police | announce | no evidence 
a legal loophole | prevent | mom 
The Anthony family | hiring | a spokesperson 
DNA results | are here | fluid 
We | learn | investigators 
a California-based bail bondsman | is flying | Orlando 
the half million dollars | required | California-based release 
they | can talk and take | a hot shower 
they | become | more pliable , more 
The report | places | Casey 
A person in jail daughter | s | disappearance 
No one | has seen | 3-year-old Caylee Anthony 
They | ` | ve 
the mother | was | Orlando airport 
they | want to know why | she 
she | make | a significant number of calls 
her mother | could have been | the time 
she | was burying | a body or something 
grandmother | has stuck | Casey 
s | disappearance | a week 
detectives | confronted | little Caylee 
pictures of Caylee | visiting | little Caylee great-grandfather 
guys | lying | investigators 
Police | searching | a beautiful 3-year-old Florida girl 
Casey Anthony | is going to be bailed out | jail 
s | charged | child neglect 
obstruction | making | false statements 
We | do not believe | the young 
We | believe | she 
we | don | t 
she | ` s going to be | surveillance 
Channel 9 | has learned | some reason 
mother | came | this area 
Very little traffic | comes | this area 
the mother | s | cell phone 
the father | s | cell phone 
didn ` | t get | any answers 
Casey | lied | the day 
the cell phone records | are helping | investigators 
DELETED | listening | anything 
the last person | to have seen | Caylee 
we | can rely | on 
she | hasn ` t done | this point 
They | think | a warm shower 
the sofa | will make | mom 
his bail bondsman nephew | are headed here | California 
Casey | set | you ` ve mentioned free 
we | ` | re hearing 
they | have to put | 50 thou 
They | would have to put | $ 50,000 
this gentleman | s | nephew 
t | think | they 
s | go straight | the bounty hunter 
the mother | missing | 3-year-old Caylee 
The original contact | came | a friend of mine 
my family | have gotten involved | high-profile cases 
the past | required bailing | a person 
they | could talk | somebody other 
he | put | me 
we | get | the young lady or interference with the law enforcement 
far | talking | somebody 
She | ` | s 
s | take | a run 
t | think | the 3-year-old 
Casey | handed | 3-year-old 
they | re sometimes | drugs and things of that nature 
they | don | ` t 
s | taken | place 
my theory | proved | than 
she | had | an accident or whatever 
about | to head | route 
Cadaver dogs | don | t 
seen cadaver dogs | hit | things 
` t | turn out to be | the person 
California | was | the most recent 
the young lady or interference with the law enforcement husband | were | jail 
they | found | the child 
They | found | the child 
didn ` t | prove | she 
the cadaver dogs | hit | anything 
they | didn | ` t 
the child | was buried | the back yard 
we | bailed | the lady 
They | ` d killed | the child 
the fireplace | buried | the child 
the cadaver dogs | did not hit | something 
your reasoning | is | the cadaver dogs 
more than | has happened | far 
she | went and borrowed | a shovel 
she | had | a couple of empty gas cans 
they | ` re looking | 30 pieces of DNA 
they | put | something 
ll charge | her | a homicide 
Casey Anthony | handed | the baby 
They | have started | Zenaida 
law enforcement | showed | Caylee 
t | know | the -- Zenaida 
t | know | the baby 
they | hand | young mothers on drugs , they baby off 
Casey Anthony | used | drugs 
the baby activities | suggest | me 
she | possibly | drinks 
she | does | drugs 
the baby | out | bars 
she | will cooperate | police 
` t | think | she 
ll | cooperate | police 
ll | cooperate | somebody other 
people | have done | bounty hunting 
we | hunt | criminals 
we | have to talk | relatives 
We | have to cajole | girlfriends 
we | ` | re 
the business | talking | people 
the man | heading | Orlando 
We | are taking | your calls 
this young lady | has | a narcissistic personality disorder 
the young lady or interference with the law enforcement parents | are being coached | profilers 
her mother daughter | being | mother of the year 
her mother parents | are going | everything 
they | are trying to gain | her mother trust 
her mother ego | hoping | she 
the police | get | people 
they | get | Police desperately searching for a beautiful little 3-year-old Florida girl , Caylee 
your father | would be | the first people 
hasn ` t | worked | the parents 
we | learned | a web of lies 
Nancy Grace parents | to | her brother 
she | was living with | little Caylee 
Casey Anthony | set to walk | free 72 hours 
we | learn | reports 
cell phone triangulation records | point | a remote and isolated area 
she | was | that area 
documents | showed | she 
she | would have been | that area 
We | won | t 
we | ` re showing | the viewers 
