<story>Campaign 2008 / McCain / Vice President / Palin</story>
<start>20080830020102.000</start>
<end>20080830023053.000</end>
We | are | New Orleans 
We | 're | the new pumping station 
the 17th Street Canal | meets | Lake Pontchartrain 
the Army Corps of Engineers | built | it 
what | happened | three years 
lake water | surged back | the canal system 
People | took | note of Katrina's anniversary today 
we | begin | John McCain's choice of a near unknown 
he | said | a person's readiness 
there | are | serious questions 
big- time | surprise | around 
( AUDIENCE MEMBER SHOUTS | > | > MCCAIN 
( CHEERING AND APPLAUSE ) | > | > MCCAIN 
( CHEERING AND APPLAUSE ) | > | > COOPER 
It | was rightly noted | Denver 
Hillary | left | 18 million cracks 
( CHEERING AND APPLAUSE ) | > | > PALIN 
it | turns | the women of America 
we | can shatter | that glass ceiling 
( CHEERING AND APPLAUSE ) | > | > COOPER 
Governor Palin | got | the nod 
who | is also embroiled | a corruption scandal 
this | is causing | a major stir 
Rush Limbaugh | put | it 
We | 're | the ones 
( LAUGHTER ) | > | > DAVID MATTINGLY 
a park | overlooking | the city of Anchorage 
Governor Sarah Palin | talked | me 
I | 'm | a hockey mom 
I | 'm | one of those movers and shakers 
I | think conventionally | you 
that | could be | what 
she | is | the youngest governor Alaska's 
the only woman | to hold | the office 
She | pushed | a strong ethics law 
public officials | took | members of her own party 
She | challenged | oil companies 
Palin | pushed back | government spending 
a pork barrel project | guided | fellow Alaskan Republican Senator Ted Stevens 
we | 're constantly battling | kind of the 
it | is | what Alaskans 
this | is | what 
Palin | has been | governor 
she | was | a small-town mayor 
She | was then appointed | chairman of the powerful State Oil 
all the while | crafting | her own message of change 
Americans | is getting away | the obsessive partisanship 
the way | doing | what's right 
herself | is | investigation 
The probe | grew out | allegations 
she | fired | her 
public safety commissioner | refusing | sack 
Palin | says | she 
who | was caught | tape pressuring state police 
There | is | nothing 
the governor | pressured directly | the publish safety commissioner 
her husband | had | contacts 
the governor's office staff | had | discussions 
Palin | is | a mother of five 
She | has | an infant 
She | was once | a hometown beauty queen 
she | tried | her hand 
She | is | the anti-Washington Republican conservative 
President Bush today | raised | the Palin choice 
Senator Obama | saying | he 
he | had | this 
I | have n't met | her before 
She | seems | a compelling person 
I | 'm | she 
the case | is | the same 
