<story>CNN Webcast</story>
<start>20080919025722.000</start>
<end>20080919025927.000</end>
you | were watching | the Web site 
you | know | what 
I | embarrassed | myself 
You | could n't | you 
what | happened | the commercial break 
you | described | that sounds 
they | had n't lent | money 
who | could n't pay | it 
it | sounds | a lot 
all | started | a few people 
who | could n't afford | it 
who | 's going to end | it 
Us | . | > > HILL 
you | 'll help | us 
you | is | what 
It | 's | Beat 360 
you | have | something 
a girl | can dream | a " Beat 360 " T-shirt 
That | was | the thing 
There | was | nothing 
There | was | nothing 
my | -- | my intention 
you | 'd watched | the Web cast 
we | need to name | this thing 
You | do n't like | that 
You | said | it 
kind of | liked | it 
time | to " Beat | 360 
It | is | our daily chance 
you | know how | it 
It | is | my sense of humor 
I | disagree | it 
I | appreciate | his sense of humor 
our viewer winner | is | Jimmy 
I | was | a maverick 
T-shirt | is | the way 
