<story>Campaign 2008 / Obama vs. McCain / Wall Street Crisis / A Discussion</story>
<start>20080923021418.500</start>
<end>20080923023136.000</end>
We | were talking | change 
we | talked | change 
I | noticed | John McCain 
Senator Obama | has never taken | his party 
We | pushed | the reform 
ruffled feathers | angered | the entrenched interests 
I | was not elected | Ms. Congeniality 
( LAUGHTER ) ( APPLAUSE ) | > | > COOPER 
That | is how | it 
they | scramble to respond | the latest developments 
both | is convince | voters 
they | 're | the best man 
CNN's Candy Crowley | has | all the day's " Raw Politics 
the Wall Street mess | dominates | the headlines 
voters | blame | Republicans 
I | guess | they 
you | do n't have | much sense 
they | can stand | a straight face 
We | 're going to clean | it 
They | made | the mess 
( APPLAUSE ) | > | > OBAMA 
they | have been running | the government 
It | is | the underpinning of the Obama campaign 
a persistent attempt | to tie | John McCain 
McCain | needs to tell | voters 
he | has | the reformer credentials 
me | offer | a little advance warning 
Change | is coming | a neighborhood 
( CHEERING AND APPLAUSE ) | > | > CROWLEY 
McCain | holds | a-12 point lead 
the question | is | about judgment 
Obama | is up | six points 
voters | are asked | judgment 
the issue | to dominate | the conversation 
Election Day | plays | Obama's perceived strength 
he | pushes | it 
We | need | a plan 
that | helps | families 
their homes and workers | keep | their jobs 
that | gives hardworking | Americans relief 
taxpayer dollars | to reward | CEOs 
( CHEERING AND APPLAUSE ) | > | > CROWLEY 
The bailout | brings | a peculiar conundrum 
The candidates | do n't want to stand | the way 
they | do n't want to fully embrace | a plan 
that | seems to save | the elite 
both candidates | accept | the need 
they | speak | the resentment 
it | stirs | struggling taxpayers 
We | ca n't have | taxpayers 
We | need to put | our country 
It | is | the excess and greed 
( CHEERING AND APPLAUSE ) | > | > MCCAIN 
that | got | us 
it | comes | the bailout 
Obama and McCain | agree | more than disagree 
Both | want | more oversight 
the money | is spent | limits 
Both | want to see | the final package 
it | seems | the Wall Street crisis 
the October surprise | come early | that 
it | seems | both candidates 
I | guess | you 
they | do n't want to do | anything 
the markets | get | blame 
neither | seems to be giving | a lot of specifics 
it | is | a 
it | is | a rare moment of prudence 
( LAUGHTER ) | > | > KLEIN 
that | is | the stakes 
this | is | a hugely complicated thing 
I | think | it 
all | want to go | home 
they | can | campaign 
I | think | it 
the next four days | to work | this one out 
both McCain and Obama | are trying | chip 
Obama | is trying to use | the natural advantage 
you | say | both sides 
he | initially sort of took | the Phil Gramm line 
we | have to sort | move 
sort | bounced | all week 
You | wo n't hear | line 
you | will not hear | line 
that | was | the bailout 
they | do n't control | this environment 
I | think | they 
I | think | some of it 
it | is | an international crisis 
they | have | their game plan 
we | ca n't make | decisions 
we | promised to do | the last year 
That | is | the thing 
