<story>War|South-Ossetia-war</story>
<start>20080811150049.348</start>
<end>20080811150849.194</end>
we | re talking | here 
Russian troops | marching | neighboring territory 
Russia | has launched | a massive military offense 
Georgias president | has signed | a cease fire agreement 
European Union leaders | will meet | Russias president 
Russia s president | to do | the same 
He | criticized | the U.S. 
President Bush | had | earlier called Russias military action 
CNN | has mobilized | its vast international resources 
this conflict | includes | dispatches 
CNN Senior International Correspondent Matthew Chance | is | the midst of the violence 
one of the places | s been routinely targeted | Russian forces 
one of the residential compounds | has come | attack 
the twisted metal | strewn | the whole area 
Gori | have come | attack 
the town | s been | the scene of some dramatic images 
a member of his security team | shouted to cover | a member of his security team 
he | was torn away | bodyguards 
they | piled | extra flak jackets 
these images | underline | just how dangerous 
volatile Georgia | has become | parts 
Russian and Georgian forces | continue to be locked | this bitter conflict 
President Bush | is headed | home 
course | overshadowed | Russias military offensive 
we | condemn | bombing 
we | re witnessing | a conflict 
President Bush | complained directly | Russian Prime Minister Vladimir Putin 
He | complained | phone 
The Russian ambassador | saying | the U.S. 
the United States | encouraged | Georgia 
Secretary Rice | was there | just a few days 
joint Georgian military maneuvers | were finished | just the th of August 
The Security Council | has nt come | a resolution 
the key players | to watch | this crisis 
a major part of the military operation | has been completed | South Ossetia 
He | is expected to begin | talks 
a cease fire plan | s backed | the European Union 
he | ll visit | the capitals of both Russia and Georgia 
he | ll meet | Georgias president 
He | has already signed | this agreement 
Russia | is reasserting | itself 
Georgia | may be | the latest outpost 
Abkhazia | is | mineral wealth 
The fighting in South Ossetia and Abkhazia | is | old fashioned nationalism 
The people of Georgia | have always resented | Russian dominance before 
President Mikheil Saakashvili | wants | his country 
President Bush | visited | Georgia 
he | received | a rapturous welcome and 
The president | is | his intentions 
the obligations | to join | NATO 
Russian leaders | see | an opportunity 
Russian leaders muscles | s known | the Near Abroad 
They | re | the Americans 
they | have | almost an exaggerated notion of Regional observers own ability 
things | to control | things 
Vladimir Putin | warned repeatedly | Kosovo 
Abkhazia | had | the same right 
Moscow | sees | its fear of influence 
those Russian ships | leave | that port 
Ukraine | has always claimed | Ukrainian territory 
a potentially much greater conflagration | involving | a wider regional area 
Moldova | have long demanded | independence 
Russia | has used | economic pressure 
Ukraine | halting | rail services 
Moscow | opposes | plans 
a natural gas pipeline | would connect | central Asia 
success | would be seen | some kind of resurrection 
Ukraines aspirations | to join | NATO 
Tim Lister | considers | its back yard 
we | may get | an opportunity 
just a couple of minutes | to speak | the Russian deputy prime minister 
He | is speaking | our CNN International 
We | hope to make | that connection 
we | will get | Russias point of view 
