<story>Justice|Pakistani-president-impeached</story>
<start>20080811173610.0661634890814
<end>20080811173802.6791701733438
parliament | convened | today 
Our Zain Verjee | is | Washington 
a vote | to impeach | Musharraf 
we | get | people 
He | s got | very few options 
he | does have | some 
He | could try and block | the two thirds majority 
Parliament | to get | Pakistani President Pervez Musharraf 
that momentum | is | Pakistani President Pervez Musharraf 
The coalition government | is saying | they 
the numbers | to get | Pakistani President Pervez Musharraf 
He | could also use | his powers 
president | to essentially dismiss | the government 
the U.S. for flying hundreds of Georgian troops | would never support | a move 
the President Musharrafs th birthday today | have been | very few flowers or birthday cards 
U.S. officials | have considered | Pakistani President Pervez Musharraf 
They | have also been | Pakistani President Pervez Musharraf 
they | see | all of this 
they | fear | the political chaos 
the Taliban and al Qaeda | will take | advantage of this political vacuum and gain strength 
The U.S. plan | has | a whole lot of influence 
they | hope | the new leaders 
which | is | border region 
